magnitude,cdi,mmi,alert,tsunami,sig,net,dmin,gap,depth
6.5,0,4,green,1,650,us,3.923,14.0,20.0
7.0,6,6,green,1,758,us,1.778,18.0,39.0
6.7,2,3,green,1,691,us,3.745,23.0,550.0
7.5,8,8,red,0,2026,us,1.649,13.0,20.0
6.5,4,1,green,0,651,us,5.139,18.0,576.0
6.9,3,4,green,0,735,us,2.785,18.0,115.0
6.5,3,6,green,1,651,us,1.638,25.0,68.0
7.9,7,4,green,1,979,us,1.431,12.0,670.81
6.6,8,9,orange,1,1075,us,1.13,32.0,35.0
7.1,2,5,green,1,776,us,2.548,23.0,21.43
7.1,0,3,green,0,776,us,3.77,12.0,630.0
6.5,6,7,green,1,652,us,4.797,10.0,9.0
7.3,8,6,yellow,1,1570,us,1.822,15.0,146.82
6.9,7,7,green,0,1206,us,2.453,31.0,21.0
8.2,5,4,green,1,1050,us,3.63,13.0,600.0
6.5,5,3,green,0,743,us,2.719,23.0,529.0
6.5,6,6,green,1,655,us,0.576,22.0,33.93
6.9,9,8,orange,0,1704,us,2.271,15.0,34.0
6.9,7,8,yellow,1,1392,hv,0.11,210.0,5.81
6.8,5,3,green,0,733,us,5.32,16.0,559.0
6.9,9,6,green,1,741,us,1.487,18.0,35.0
6.7,5,6,green,1,696,us,1.507,15.0,40.0
6.8,6,6,green,1,719,us,1.049,16.0,22.86
6.7,8,7,green,1,697,us,5.457,19.0,20.49
7.5,9,8,yellow,1,943,us,5.48,17.0,25.21
7.2,7,7,yellow,1,1384,us,0.142,82.0,22.0
7.9,9,4,green,1,1870,us,2.585,30.0,14.06
7.1,9,7,green,1,1075,us,4.29,23.0,39.0
7.5,8,5,green,1,1623,us,4.581,12.0,19.0
6.5,8,7,green,0,998,us,2.365,28.0,90.0
6.5,1,5,green,1,651,us,17.654,23.0,17.0
7.0,4,6,green,1,771,us,0.617,14.0,10.0
6.6,4,5,green,1,676,us,0.529,21.0,13.0
6.5,8,8,yellow,1,1153,us,0.225,37.0,19.36
7.3,8,9,red,0,2790,us,0.284,33.0,19.0
6.5,6,5,green,1,661,us,4.449,10.0,110.57
6.8,5,5,green,1,727,us,4.852,21.0,10.0
6.6,3,5,green,1,674,us,0.788,29.0,22.0
6.7,3,4,green,1,691,us,1.062,55.0,24.0
6.7,3,3,green,0,694,us,1.634,16.0,553.81
6.5,3,5,green,1,651,us,1.154,11.0,119.0
7.1,9,8,green,0,1686,us,0.984,23.0,48.0
8.2,9,7,red,1,2910,us,0.944,22.0,47.39
6.5,5,7,yellow,0,707,us,11.411,22.0,9.0
6.6,7,7,yellow,0,1064,us,0.913,16.0,7.0
7.7,8,7,green,1,918,us,3.564,13.0,10.0
6.6,5,4,green,1,704,us,3.773,37.0,10.0
6.5,9,8,yellow,1,740,us,4.139,30.0,9.0
6.8,6,6,yellow,1,1034,us,1.065,38.0,38.12
6.9,8,6,yellow,1,1188,us,0.247,35.0,93.0
6.8,0,4,green,1,711,us,2.308,12.0,5.0
6.6,7,7,green,0,678,us,2.353,18.0,12.0
6.5,0,4,green,1,650,us,6.489,17.0,15.0
6.8,6,5,green,1,713,us,7.495,19.0,169.0
6.9,9,6,green,1,814,us,1.636,14.0,26.0
6.9,9,7,yellow,1,1642,us,0.356,39.0,28.0
6.5,7,8,green,0,1297,us,2.36,15.0,29.0
6.6,6,7,yellow,1,671,us,4.591,14.0,17.0
6.9,2,3,green,1,733,us,6.012,19.0,414.5
6.5,3,3,green,0,653,us,4.242,14.0,595.98
6.5,8,7,yellow,1,718,us,2.822,36.0,15.0
7.9,9,7,yellow,1,987,us,3.625,9.0,135.0
6.5,6,6,green,1,654,us,1.64,21.0,36.0
7.3,6,3,green,1,849,us,3.813,18.0,627.17
6.9,6,4,green,1,742,us,2.495,13.0,12.0
7.6,9,8,yellow,1,1152,us,0.355,29.0,38.0
6.7,5,5,green,0,726,us,3.38,17.0,152.0
7.9,9,7,yellow,1,972,us,1.389,13.0,94.54
6.9,8,6,green,1,737,us,1.747,26.0,19.73
6.5,0,5,green,0,650,us,1.937,18.0,12.26
7.8,9,8,green,1,961,us,1.836,13.0,40.0
6.6,5,4,green,1,1120,us,1.405,55.0,8.45
6.5,9,8,yellow,0,731,us,0.778,27.0,13.0
6.6,8,7,green,0,693,us,1.697,20.0,17.0
6.9,5,4,green,1,855,us,1.796,20.0,10.0
6.9,9,6,green,1,1144,us,0.671,10.0,9.0
6.5,7,7,yellow,1,664,us,0.283,56.0,9.0
6.5,6,7,yellow,1,656,us,0.135,58.0,10.0
7.8,9,9,orange,1,1545,us,0.481,21.0,15.11
6.6,9,8,red,0,2840,us,0.174,25.0,8.0
6.6,3,3,green,0,677,us,2.022,16.0,614.0
6.8,3,6,green,1,716,us,3.727,11.0,42.0
6.9,2,3,green,1,733,us,4.051,9.0,596.4
7.0,5,6,green,1,897,us,0.698,21.0,19.0
6.8,4,3,green,1,713,us,0.803,12.0,476.0
6.8,6,6,yellow,0,981,us,1.802,17.0,82.0
7.2,6,5,green,1,799,us,4.823,14.0,16.37
7.7,5,6,green,1,971,us,3.294,14.0,196.0
6.6,4,6,green,0,671,us,2.435,16.0,50.0
7.2,1,6,green,1,798,us,5.803,24.0,78.0
6.9,3,3,green,1,733,us,5.485,19.0,405.69
6.9,8,7,green,1,780,us,1.192,17.0,29.95
6.7,5,7,green,1,744,us,1.352,21.0,16.0
7.0,7,7,green,1,755,us,0.616,14.0,24.0
7.8,9,9,orange,1,1163,us,1.44,15.0,20.59
